kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
b+tree-rodinia-3.4.sm_75.ptx 199 : 2560000 411024192 0 0 0 80000 80000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 177 : 10000 91347 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 176 : 10000 1548802 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 174 : 641729 3310094 0 0 0 0 0 0 9689 
b+tree-rodinia-3.4.sm_75.ptx 170 : 641729 5820351 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 161 : 2560000 491618528 0 0 0 80000 80000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 158 : 2560000 23509792 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 157 : 2560000 23385632 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 156 : 2560000 418464192 0 0 0 80000 80000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 152 : 10000 98066 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 151 : 10000 1540587 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 148 : 10000 54161 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 155 : 2560000 13805440 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 147 : 2560000 13875717 0 0 0 0 0 0 10000 
b+tree-rodinia-3.4.sm_75.ptx 142 : 10000 101433 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 140 : 10000 0 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 139 : 10000 61361 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 138 : 10000 1564202 256 0 0 10000 10000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 137 : 10000 91537 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 136 : 10000 93117 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 135 : 10000 91473 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 134 : 10000 2146318 60288 0 0 10000 10000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 132 : 310801 1573597 0 0 0 0 0 0 9677 
b+tree-rodinia-3.4.sm_75.ptx 131 : 310801 1952188 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 130 : 310801 50165493 0 0 0 51647 14810 0 0 
b+tree-rodinia-3.4.sm_75.ptx 129 : 310801 2836331 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 146 : 2560000 13584384 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 145 : 2560000 15720640 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 128 : 310801 2820595 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 127 : 310801 2839861 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 126 : 310801 2821676 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 125 : 310801 2831860 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 123 : 2560000 11888639 0 0 0 0 0 0 9862 
b+tree-rodinia-3.4.sm_75.ptx 122 : 2560000 15703680 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 33 : 2560000 37201760 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 32 : 2560000 36506560 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 31 : 2560000 34686880 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 556 : 6000 70279 0 0 0 6000 6000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 211 : 2560000 13402752 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 548 : 1536000 7987866 0 0 0 0 0 0 6000 
b+tree-rodinia-3.4.sm_75.ptx 210 : 2560000 15505920 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 547 : 1536000 9443936 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 205 : 2560000 15671040 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 542 : 1536000 9496672 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 204 : 2560000 467540128 0 0 0 80000 80000 0 0 
b+tree-rodinia-3.8.sm_75.ptx 541 : 1536000 14134240 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 173 : 641729 3950717 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 173 : 6000 0 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 172 : 641729 102999583 0 0 0 101955 24870 0 0 
b+tree-rodinia-3.8.sm_75.ptx 172 : 6000 37650 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 186 : 1536000 9449568 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 171 : 641729 5851575 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 171 : 6000 1000504 256 0 0 6000 6000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 169 : 641729 5861341 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 169 : 186436 965152 0 0 0 0 0 0 5803 
b+tree-rodinia-3.4.sm_75.ptx 168 : 641729 5816599 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 168 : 186436 1158043 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 185 : 1536000 294203424 0 0 0 240000 48000 0 0 
b+tree-rodinia-3.4.sm_75.ptx 184 : 10000 109254 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.8.sm_75.ptx 184 : 1536000 342782752 19264 0 0 48000 48000 0 0 
b+tree-rodinia-3.8.sm_75.ptx 183 : 1536000 14244384 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 182 : 10000 0 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 182 : 1536000 14220288 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 181 : 10000 61623 0 0 0 0 0 0 0 
