kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop-rodinia-3.4.sm_75.ptx 223 : 16 2912 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 222 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 216 : 16 9392 64 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 201 : 1048576 5340672 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 200 : 1048576 15329056 0 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 199 : 1048576 6354464 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 198 : 1048576 13854976 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 197 : 1048576 13834016 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 196 : 1048576 6353600 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 195 : 1048576 238561376 0 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 194 : 1048576 6357856 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 193 : 1048576 213286464 0 0 0 40960 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 192 : 1048576 13789568 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 191 : 1048576 6345568 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 190 : 1048576 862464032 0 0 0 98304 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 189 : 1048576 18565504 0 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 188 : 1048576 6371712 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 187 : 1048576 13837536 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 186 : 1048576 6359680 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 185 : 1048576 385482368 4435872 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 184 : 1048576 9539360 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 183 : 1048576 13957536 0 0 0 0 0 0 0 
