kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
fastWalshTransform.3.sm_75.ptx 219 : 12582912 77143680 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 218 : 12582912 569812864 0 0 0 1572864 393216 0 0 
fastWalshTransform.3.sm_75.ptx 217 : 12582912 118002240 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 216 : 12582912 125591552 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 215 : 12582912 558740832 0 0 0 1572864 393216 0 0 
fastWalshTransform.3.sm_75.ptx 214 : 12582912 118478880 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 213 : 12582912 125726784 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 212 : 12582912 549369856 0 0 0 1572864 393216 0 0 
fastWalshTransform.3.sm_75.ptx 211 : 12582912 119702880 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 210 : 12582912 125242048 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 209 : 12582912 534508192 0 0 0 1572864 393216 0 0 
fastWalshTransform.3.sm_75.ptx 208 : 12582912 117156768 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 207 : 12582912 121654752 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 186 : 12582912 116798592 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 185 : 12582912 80545024 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 184 : 12582912 80305600 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 183 : 12582912 118078112 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 182 : 12582912 118986720 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 181 : 12582912 73571488 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 180 : 12582912 71998784 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 179 : 12582912 131750496 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 178 : 12582912 73838592 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 177 : 12582912 74126240 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 172 : 12582912 381037376 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 171 : 12582912 394701440 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 173 : 12582912 367110016 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 174 : 12582912 79805856 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 175 : 12582912 78812992 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 176 : 12582912 71779872 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 187 : 12582912 80294592 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 188 : 12582912 118158848 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 189 : 12582912 80279200 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 190 : 12582912 118252320 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 191 : 12582912 80508384 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 192 : 12582912 118759648 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 193 : 12582912 81011008 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 194 : 12582912 121628480 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 195 : 12582912 9198483584 50331648 0 0 1572864 393216 0 0 
fastWalshTransform.3.sm_75.ptx 196 : 12582912 122614912 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 197 : 12582912 121039904 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 198 : 12582912 9315590080 50331648 0 0 1572864 393216 0 0 
fastWalshTransform.3.sm_75.ptx 199 : 12582912 126106752 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 200 : 12582912 9430517408 50331648 0 0 1572864 393216 0 0 
fastWalshTransform.3.sm_75.ptx 201 : 12582912 128135104 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 202 : 12582912 9648038080 50331648 0 0 1572864 393216 0 0 
fastWalshTransform.3.sm_75.ptx 203 : 12582912 121373568 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 204 : 12582912 117080704 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 205 : 12582912 118865728 0 0 0 0 0 0 0 
fastWalshTransform.3.sm_75.ptx 206 : 12582912 116275712 0 0 0 0 0 0 0 
