kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
histogram.6.sm_75.ptx 522 : 64 1782 0 0 0 64 64 0 0 
histogram.6.sm_75.ptx 521 : 64 578 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 520 : 64 579 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 519 : 64 387 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 518 : 64 375 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 517 : 64 3451 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 516 : 64 1899 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 515 : 64 586 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 514 : 64 3343 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 513 : 64 3276 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 525 : 16384 85728 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 511 : 16384 86453 0 0 0 0 0 0 64 
histogram.6.sm_75.ptx 510 : 16384 99520 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 506 : 128 2870 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 505 : 128 1174 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 504 : 128 6570 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 503 : 128 6630 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 509 : 16384 84832 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 501 : 16384 84954 0 0 0 0 0 0 64 
histogram.6.sm_75.ptx 500 : 16384 102816 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 496 : 256 7096 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 495 : 256 2356 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 494 : 256 15432 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 493 : 256 15268 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 499 : 16384 87424 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 491 : 16384 85172 0 0 0 0 0 0 64 
histogram.6.sm_75.ptx 490 : 16384 100416 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 486 : 512 16496 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 485 : 512 4680 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 484 : 512 31168 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 483 : 512 32016 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 489 : 16384 86368 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 481 : 16384 83624 0 0 0 0 0 0 64 
histogram.6.sm_75.ptx 480 : 16384 102656 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 476 : 1024 38736 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 475 : 1024 9712 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 474 : 1024 63376 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 473 : 1024 64496 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 479 : 16384 87136 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 471 : 16384 84032 0 0 0 0 0 0 64 
histogram.6.sm_75.ptx 470 : 16384 106816 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 466 : 2048 88672 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 465 : 2048 19520 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 464 : 2048 145280 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 469 : 16384 89024 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 463 : 2048 141824 0 64 64 0 0 0 0 
histogram.6.sm_75.ptx 461 : 16384 76480 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 460 : 16384 112864 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 456 : 4096 195232 0 128 128 0 0 0 0 
histogram.6.sm_75.ptx 455 : 4096 40192 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 459 : 16384 99168 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 454 : 4096 289664 0 128 128 0 0 0 0 
histogram.6.sm_75.ptx 453 : 4096 304512 0 128 128 0 0 0 0 
histogram.6.sm_75.ptx 451 : 16384 70112 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 450 : 16384 120704 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 446 : 8192 479968 0 256 256 0 0 0 0 
histogram.6.sm_75.ptx 445 : 8192 77216 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 449 : 16384 105024 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 444 : 8192 642432 0 256 256 0 0 0 0 
histogram.6.sm_75.ptx 443 : 8192 701120 0 256 256 0 0 0 0 
histogram.6.sm_75.ptx 441 : 16384 48896 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 440 : 16384 116608 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 439 : 16384 122176 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 438 : 16384 1214976 0 512 512 0 0 0 0 
histogram.6.sm_75.ptx 437 : 16384 179392 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 436 : 16384 86240 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 435 : 16384 116704 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 432 : 279680 2163016 0 0 0 0 0 0 64 
histogram.6.sm_75.ptx 431 : 279680 2515096 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 430 : 279680 2559258 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 429 : 279680 2608322 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 428 : 279680 3245276 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 427 : 279680 508739570 1073280 0 0 279680 8768 0 0 
histogram.6.sm_75.ptx 426 : 279680 3458876 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 425 : 279680 2895112 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 422 : 16384 174304 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 421 : 16384 100448 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 420 : 16384 111680 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 419 : 16384 286336 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 418 : 16384 118368 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 416 : 16384 0 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 415 : 16384 116768 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 414 : 16384 129664 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 413 : 16384 219776 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 412 : 16384 2663520 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 411 : 16384 2635712 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 410 : 16384 2649408 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 394 : 279680 1641600 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 391 : 279680 10684192 0 0 0 34960 8740 0 0 
histogram.6.sm_75.ptx 390 : 279680 2772704 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 389 : 279680 2789024 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 388 : 279680 1779648 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 387 : 279680 2760000 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 386 : 279680 1769024 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 385 : 279680 2745568 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 384 : 279680 2728384 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 383 : 279680 2701216 0 0 0 0 0 0 0 
histogram.6.sm_75.ptx 382 : 279680 2693280 0 0 0 0 0 0 0 
