kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
parboil-mri-q.5.sm_75.ptx 165 : 262144 1595360 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 164 : 262144 4706432 0 0 0 32768 8192 0 0 
parboil-mri-q.5.sm_75.ptx 163 : 262144 3818368 0 0 0 32768 8192 0 0 
parboil-mri-q.5.sm_75.ptx 160 : 134217728 815023296 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 159 : 134217728 880371648 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 158 : 134217728 884566176 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 157 : 134217728 1285759136 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 156 : 134217728 882318208 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 155 : 134217728 1254125952 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 154 : 134217728 1258041504 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 153 : 134217728 3493578368 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 152 : 134217728 1257779104 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 151 : 134217728 1564624864 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 150 : 134217728 3454871232 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 76 : 262144 3397696 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 54 : 2048 10240 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 133 : 134217728 1254280640 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 51 : 2048 12512 0 0 0 256 64 0 0 
parboil-mri-q.5.sm_75.ptx 130 : 134217728 1263163776 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 50 : 2048 18624 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 129 : 134217728 826792736 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 86 : 262144 1712224 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 49 : 2048 12288 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 128 : 134217728 1274404896 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 85 : 262144 2460352 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 48 : 2048 18624 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 84 : 262144 1686784 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 47 : 2048 18592 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 83 : 262144 1719232 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 46 : 2048 405632 0 0 0 256 64 0 0 
parboil-mri-q.5.sm_75.ptx 125 : 262144 0 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 34 : 2048 12544 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 33 : 2048 11520 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 32 : 2048 28672 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 31 : 2048 26496 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 29 : 2048 23424 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 30 : 2048 26368 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 35 : 2048 11520 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 36 : 2048 18816 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 74 : 262144 3525376 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 37 : 2048 12416 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 75 : 262144 3450176 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 38 : 2048 0 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 77 : 262144 3347264 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 40 : 2048 13184 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 78 : 262144 3319232 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 41 : 2048 19072 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 79 : 262144 3292864 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 42 : 2048 19968 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 80 : 262144 3298688 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 43 : 2048 12672 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 81 : 262144 1761344 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 44 : 2048 20608 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 82 : 262144 1744064 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 45 : 2048 391328 0 0 0 256 64 0 0 
parboil-mri-q.5.sm_75.ptx 124 : 262144 1742144 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 87 : 262144 2446144 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 88 : 262144 2445440 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 89 : 262144 68918208 889472 0 0 32768 8192 0 0 
parboil-mri-q.5.sm_75.ptx 90 : 262144 1700032 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 91 : 262144 2490784 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 92 : 262144 62175456 678144 0 0 32768 8192 0 0 
parboil-mri-q.5.sm_75.ptx 93 : 262144 1712704 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 94 : 262144 2604544 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 95 : 262144 55785024 500608 0 0 32768 8192 0 0 
parboil-mri-q.5.sm_75.ptx 96 : 262144 1704960 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 97 : 262144 2492576 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 98 : 262144 73862624 1048576 0 0 32768 8192 0 0 
parboil-mri-q.5.sm_75.ptx 99 : 262144 2459584 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 100 : 262144 73260768 1048576 0 0 32768 8192 0 0 
parboil-mri-q.5.sm_75.ptx 101 : 262144 1713472 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 102 : 262144 1747200 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 103 : 262144 1725696 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 104 : 262144 1586016 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 131 : 134217728 1573807616 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 132 : 134217728 1608264576 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 134 : 134217728 1259722400 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 135 : 134217728 1570861408 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 136 : 134217728 1258527232 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 137 : 134217728 1259293760 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 138 : 134217728 3456320544 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 139 : 134217728 1565137248 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 140 : 134217728 1304143296 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 141 : 134217728 3501524096 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 142 : 134217728 1300100192 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 143 : 134217728 1574056704 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 144 : 134217728 1604644832 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 145 : 134217728 1252990752 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 146 : 134217728 1257548704 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 147 : 134217728 1574263552 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 148 : 134217728 1256808736 0 0 0 0 0 0 0 
parboil-mri-q.5.sm_75.ptx 149 : 134217728 1257826368 0 0 0 0 0 0 0 
