kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
quasirandomGenerator.3.sm_75.ptx 184 : 442368 3063712 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 181 : 28311552 197453024 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 180 : 28311552 201922272 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 179 : 28311552 278512352 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 178 : 28311552 551618304 0 0 0 3538944 884736 0 0 
quasirandomGenerator.3.sm_75.ptx 177 : 28311552 287405952 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 176 : 28311552 287559200 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 175 : 28311552 286617152 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 174 : 28311552 285626048 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 173 : 28311552 202333728 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 172 : 28311552 286020160 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 171 : 28311552 201437664 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 170 : 28311552 201669024 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 169 : 28311552 201686848 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 168 : 28311552 201601792 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 167 : 28311552 201707392 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 166 : 28311552 201585536 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 165 : 28311552 201478688 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 164 : 28311552 201716768 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 163 : 28311552 201706880 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 162 : 28311552 201393792 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 161 : 28311552 201686048 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 160 : 28311552 201590272 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 159 : 28311552 201466272 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 158 : 28311552 201634816 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 157 : 28311552 201754432 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 156 : 28311552 201334176 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 155 : 28311552 201706336 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 154 : 28311552 201579520 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 153 : 28311552 201325376 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 152 : 28311552 201694848 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 151 : 28311552 201601056 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 150 : 28311552 201315808 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 149 : 28311552 201626592 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 148 : 28311552 201496352 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 147 : 28311552 201285856 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 146 : 28311552 201670848 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 145 : 28311552 201561952 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 144 : 28311552 201519936 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 143 : 28311552 201583136 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 142 : 28311552 201689568 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 141 : 28311552 201396864 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 140 : 28311552 201633792 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 139 : 28311552 201538816 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 138 : 28311552 201435168 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 137 : 28311552 201684928 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 136 : 28311552 201649856 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 135 : 28311552 201362624 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 134 : 28311552 201601728 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 133 : 28311552 201622208 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 132 : 28311552 201419552 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 131 : 28311552 201616608 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 130 : 28311552 201566464 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 129 : 28311552 201384608 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 128 : 28311552 201720384 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 127 : 28311552 201744672 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 126 : 28311552 201398176 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 125 : 28311552 201781184 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 124 : 28311552 201678688 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 123 : 28311552 201313088 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 122 : 28311552 201550784 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 121 : 28311552 201628000 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 120 : 28311552 201376960 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 119 : 28311552 201624960 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 118 : 28311552 201485504 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 117 : 28311552 201392640 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 116 : 28311552 201599776 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 115 : 28311552 201822080 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 114 : 28311552 201418304 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 113 : 28311552 201630752 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 112 : 28311552 201618848 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 111 : 28311552 201360448 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 110 : 28311552 201734592 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 109 : 28311552 201609568 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 108 : 28311552 201474240 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 63 : 442368 10283200 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 62 : 442368 10499680 0 0 0 0 0 0 0 
quasirandomGenerator.3.sm_75.ptx 61 : 442368 10693408 0 0 0 0 0 0 0 
