kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
sobolQRNG.3.sm_75.ptx 220 : 6400 37408 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 207 : 9993600 70660064 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 197 : 9993600 100164896 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 196 : 9993600 70576032 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 195 : 9993600 76636448 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 194 : 9993600 70075648 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 191 : 6400 0 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 190 : 6400 47104 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 189 : 6400 44192 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 188 : 6400 63488 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 187 : 6400 63616 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 186 : 6400 262528 0 200 200 0 0 0 0 
sobolQRNG.3.sm_75.ptx 185 : 6400 64640 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 184 : 6400 44192 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 183 : 6400 43648 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 180 : 6400 107712 0 0 0 800 200 0 0 
sobolQRNG.3.sm_75.ptx 179 : 6400 65024 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 178 : 6400 46400 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 177 : 6400 45728 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 176 : 6400 65696 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 175 : 6400 46176 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 174 : 6400 76256 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 173 : 6400 64608 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 172 : 6400 47104 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 170 : 6400 0 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 169 : 6400 50752 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 166 : 6400 0 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 165 : 6400 46528 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 164 : 6400 65984 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 163 : 6400 65664 0 0 0 0 0 0 0 
sobolQRNG.3.sm_75.ptx 162 : 6400 46752 0 0 0 0 0 0 0 
