kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad_v1-rodinia-3.4.sm_75.ptx 990 : 1843200 10949536 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 987 : 1839328 68602624 0 0 0 229920 57480 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 986 : 1839328 11980288 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 985 : 1839328 26569280 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 984 : 1839328 11804512 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 983 : 1839328 27242688 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 982 : 1839328 11454240 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 981 : 1839328 11934048 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 980 : 1839328 676748676 7317376 0 0 229920 57480 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 979 : 1839328 17194720 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 978 : 1839328 17482560 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 977 : 1839328 483886468 121056 0 0 287288 57480 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 976 : 1839328 682246932 7307008 0 0 229920 57480 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 975 : 1839328 17700448 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 974 : 1839328 11698784 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 973 : 1839328 17877984 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 972 : 1839328 689558080 7311360 0 0 229920 57480 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 971 : 1839328 17554368 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 970 : 1839328 11603552 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 969 : 1839328 17729268 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 968 : 1839328 17475200 0 0 0 0 0 0 0 
srad_v1-rodinia-3.4.sm_75.ptx 967 : 1839328 708989244 727040 0 0 287168 57480 0 0 
