Benchmark,Real,SASS,PTX
backprop,56.70192,77.7557,83.8674
binomialOptions,44.95794,74.1722,72.7933
b+tree,44.29484,74.1722,72.7933
dct8x8,42.46558,74.1722,72.7933
fastWalshTransform,41.55978,89.8069,90.6211
histogram,55.7459,82.8825,75.8586
hotspot,42.15578,82.8825,
kmeans,45.90302,71.5768,83.8674
mergeSort,54.79382,87.2023,83.1467
parboil-mri-q,57.36638,36.9638,37.0237
parboil-sad,44.78802,89.8069,90.6211
parboil-sgemm,65.41236,85.7725,83.1467
pathfinder,53.63542,77.4958,
quasirandomGenerator,63.4385,89.8069,83.5167
sobolQRNG,54.29438,87.2023,83.1467
srad_v1,57.86464,85.7725,74.6558
